id,filename,path,tags,size_bytes,modified
Drum Designer_eb5ce3f1,Drum Designer.png,/Users/samimajeed/Documents/Image-Line/FL Studio/Presets/Plugin database/Generators/FL Cloud/Drum Designer.png,['design'],62046,2025-10-30T05:34:07.822579
shamash_tablet_placeholder_eaffb622,shamash_tablet_placeholder.jpg,/Users/samimajeed/Documents/Claude_Mesopotamia_Vault/04_IMAGES/Placeholders/shamash_tablet_placeholder.jpg,['shamash'],19437,2025-11-20T02:00:15.399342
ur_rosette_placeholder_924247ff,ur_rosette_placeholder.jpg,/Users/samimajeed/Documents/Claude_Mesopotamia_Vault/04_IMAGES/Placeholders/ur_rosette_placeholder.jpg,['rosette'],19302,2025-11-20T02:00:15.401176
cylinder_seal_placeholder_e0e78b82,cylinder_seal_placeholder.jpg,/Users/samimajeed/Documents/Claude_Mesopotamia_Vault/04_IMAGES/Placeholders/cylinder_seal_placeholder.jpg,"['cylinder', 'seal']",19514,2025-11-20T02:00:15.398788
Ziggurat_of_Ur_from_bottom_of_main_stair_341b4c7f,Ziggurat_of_Ur_from_bottom_of_main_stair.jpg,/Users/samimajeed/Documents/Claude_Mesopotamia_Vault/04_IMAGES/Museum_Photos/Ziggurat_of_Ur_from_bottom_of_main_stair.jpg,['ziggurat'],2883988,2025-11-20T02:00:10.118630
Cylinder_seal_lions_Louvre_MNB1167_b5594911,Cylinder_seal_lions_Louvre_MNB1167.jpg,/Users/samimajeed/Documents/Claude_Mesopotamia_Vault/04_IMAGES/Museum_Photos/Cylinder_seal_lions_Louvre_MNB1167.jpg,"['cylinder', 'seal']",563352,2025-11-20T02:00:10.111998
Ishtar_Gate_at_Berlin_Museum_dc6a13cf,Ishtar_Gate_at_Berlin_Museum.jpg,/Users/samimajeed/Documents/Claude_Mesopotamia_Vault/04_IMAGES/Museum_Photos/Ishtar_Gate_at_Berlin_Museum.jpg,['ishtar'],436195,2025-11-20T02:00:10.112824
chicago_67175_Babylone_d_Allemagne_058a482f,chicago_67175_Babylone_d_Allemagne.jpg,/Users/samimajeed/Documents/Obsidian - Main Vault/05_DELIVERABLES/assets_by_tag/babylon/chicago_67175_Babylone_d_Allemagne.jpg,['babylon'],364688,2025-10-30T03:53:47.243466
met_891628_Dish__The_Walls_and_Hanging_Gardens_of_Babylon_ad82805d,met_891628_Dish__The_Walls_and_Hanging_Gardens_of_Babylon.jpg,/Users/samimajeed/Documents/Obsidian - Main Vault/05_DELIVERABLES/assets_by_tag/babylon/met_891628_Dish__The_Walls_and_Hanging_Gardens_of_Babylon.jpg,['babylon'],2455077,2025-10-30T03:53:43.227187
chicago_62272_Cover_for_Babylone_d_Allemagne_fb08b2fa,chicago_62272_Cover_for_Babylone_d_Allemagne.jpg,/Users/samimajeed/Documents/Obsidian - Main Vault/05_DELIVERABLES/assets_by_tag/babylon/chicago_62272_Cover_for_Babylone_d_Allemagne.jpg,['babylon'],175336,2025-10-30T03:53:49.938745
wikimedia_Babylonian_cuneiform_tablet_with_a_map_from_Nippur_1550-1450_BCE_ea9dab94,wikimedia_Babylonian_cuneiform_tablet_with_a_map_from_Nippur_1550-1450_BCE.jpg,/Users/samimajeed/Documents/Obsidian - Main Vault/05_DELIVERABLES/assets_by_tag/babylon/wikimedia_Babylonian_cuneiform_tablet_with_a_map_from_Nippur_1550-1450_BCE.jpg,['babylon'],296260,2025-11-10T00:09:45.436669
chicago_67201_Babylone_d_Allemagne_d5b549f5,chicago_67201_Babylone_d_Allemagne.jpg,/Users/samimajeed/Documents/Obsidian - Main Vault/05_DELIVERABLES/assets_by_tag/babylon/chicago_67201_Babylone_d_Allemagne.jpg,['babylon'],545627,2025-10-30T03:53:48.517499
wikimedia_A_history_of_Babylon_from_the_foundation_of_the_monarchy_to_the_Persian_conquest_(1915)_(14596718990)_007b92d4,wikimedia_A_history_of_Babylon_from_the_foundation_of_the_monarchy_to_the_Persian_conquest_(1915)_(14596718990).jpg,/Users/samimajeed/Documents/Obsidian - Main Vault/05_DELIVERABLES/assets_by_tag/babylon/wikimedia_A_history_of_Babylon_from_the_foundation_of_the_monarchy_to_the_Persian_conquest_(1915)_(14596718990).jpg,"['arch', 'babylon']",154417,2025-11-10T00:09:45.462661
"wikimedia_Cuneiform_cylinder-_inscription_of_Nebuchadnezzar_II_commemorating_the_reconstruction_of_Etemenanki,_the_ziggurat_at_Babylon_MET_ME86_11_284_a8f8c15b","wikimedia_Cuneiform_cylinder-_inscription_of_Nebuchadnezzar_II_commemorating_the_reconstruction_of_Etemenanki,_the_ziggurat_at_Babylon_MET_ME86_11_284.jpg","/Users/samimajeed/Documents/Obsidian - Main Vault/05_DELIVERABLES/assets_by_tag/babylon/wikimedia_Cuneiform_cylinder-_inscription_of_Nebuchadnezzar_II_commemorating_the_reconstruction_of_Etemenanki,_the_ziggurat_at_Babylon_MET_ME86_11_284.jpg","['babylon', 'cylinder', 'ziggurat']",127784,2025-11-10T00:09:44.930465
chicago_118031_The_Fall_of_Babylon__from_Illustrations_of_the_Bible_0b26b1e5,chicago_118031_The_Fall_of_Babylon__from_Illustrations_of_the_Bible.jpg,/Users/samimajeed/Documents/Obsidian - Main Vault/05_DELIVERABLES/assets_by_tag/babylon/chicago_118031_The_Fall_of_Babylon__from_Illustrations_of_the_Bible.jpg,['babylon'],121244,2025-10-30T03:53:51.327748
met_891628_Dish The Walls and Hanging Gardens of Babylon_b620960e,met_891628_Dish The Walls and Hanging Gardens of Babylon.jpg,/Users/samimajeed/Documents/Obsidian - Main Vault/05_DELIVERABLES/assets_by_tag/babylon/met_891628_Dish The Walls and Hanging Gardens of Babylon.jpg,['babylon'],2433860,2025-11-10T00:09:45.039468
met_891654_Bracelet_with_Assyrian-inspired_design_2a576caa,met_891654_Bracelet_with_Assyrian-inspired_design.jpg,/Users/samimajeed/Documents/Obsidian - Main Vault/05_DELIVERABLES/assets_by_tag/design/met_891654_Bracelet_with_Assyrian-inspired_design.jpg,"['assyria', 'design']",1591428,2025-10-30T03:54:00.601388
Drum Designer_8dd34f56,Drum Designer.png,/Users/samimajeed/Documents/Obsidian - Main Vault/05_DELIVERABLES/assets_by_tag/design/Drum Designer.png,['design'],62046,2025-10-30T05:34:07.822579
maya_hero_fd7ff368,maya_hero.jpg,/Users/samimajeed/Documents/Obsidian - Main Vault/05_DELIVERABLES/assets_by_tag/maya/maya_hero.jpg,['maya'],5581796,2025-10-19T17:53:14.438983
maya_hero_6d699f24_081b20b0,maya_hero_6d699f24.jpg,/Users/samimajeed/Documents/Obsidian - Main Vault/05_DELIVERABLES/assets_by_tag/maya/maya_hero_6d699f24.jpg,['maya'],5581796,2025-10-19T18:51:08.757034
artifacts_322890_98d1638f,artifacts_322890.jpg,/Users/samimajeed/Documents/Obsidian - Main Vault/05_DELIVERABLES/assets_by_tag/artifacts/artifacts_322890.jpg,"['artifact', 'artifacts']",1913352,2025-10-29T15:44:10.431172
artifacts_329081_230d9d3e,artifacts_329081.jpg,/Users/samimajeed/Documents/Obsidian - Main Vault/05_DELIVERABLES/assets_by_tag/artifacts/artifacts_329081.jpg,"['artifact', 'artifacts']",1074224,2025-10-29T15:44:03.441854
artifacts_437384_6aa7f3ec,artifacts_437384.jpg,/Users/samimajeed/Documents/Obsidian - Main Vault/05_DELIVERABLES/assets_by_tag/artifacts/artifacts_437384.jpg,"['artifact', 'artifacts']",562701,2025-10-29T15:44:00.116490
artifacts_321904_049f9dd9,artifacts_321904.jpg,/Users/samimajeed/Documents/Obsidian - Main Vault/05_DELIVERABLES/assets_by_tag/artifacts/artifacts_321904.jpg,"['artifact', 'artifacts']",1272925,2025-10-29T15:44:04.624845
artifacts_325584_c4f8094e,artifacts_325584.jpg,/Users/samimajeed/Documents/Obsidian - Main Vault/05_DELIVERABLES/assets_by_tag/artifacts/artifacts_325584.jpg,"['artifact', 'artifacts']",2628721,2025-10-29T15:43:58.027448
artifacts_329077_9e9c60cb,artifacts_329077.jpg,/Users/samimajeed/Documents/Obsidian - Main Vault/05_DELIVERABLES/assets_by_tag/artifacts/artifacts_329077.jpg,"['artifact', 'artifacts']",2335974,2025-10-29T15:43:59.035712
artifacts_329076_5978a8e2,artifacts_329076.jpg,/Users/samimajeed/Documents/Obsidian - Main Vault/05_DELIVERABLES/assets_by_tag/artifacts/artifacts_329076.jpg,"['artifact', 'artifacts']",471968,2025-10-29T15:44:11.963917
artifacts_322890_50c0ac10_a92ffa56,artifacts_322890_50c0ac10.jpg,/Users/samimajeed/Documents/Obsidian - Main Vault/05_DELIVERABLES/assets_by_tag/artifacts/artifacts_322890_50c0ac10.jpg,"['artifact', 'artifacts']",1913352,2025-10-29T18:37:58.985111
Geometry1TheStoryofGeometryMontessoriIntroductiontoGeometryUnit1-1_page_3_c9f5155e,Geometry1TheStoryofGeometryMontessoriIntroductiontoGeometryUnit1-1_page_3.jpeg,/Users/samimajeed/Documents/Obsidian - Main Vault/05_DELIVERABLES/assets_by_tag/unit/Geometry1TheStoryofGeometryMontessoriIntroductiontoGeometryUnit1-1_page_3.jpeg,"['geometry', 'unit']",630979,2025-09-30T04:11:04.070000
Geometry1TheStoryofGeometryMontessoriIntroductiontoGeometryUnit1-1_page_11_4765adaf_362f856a,Geometry1TheStoryofGeometryMontessoriIntroductiontoGeometryUnit1-1_page_11_4765adaf.jpeg,/Users/samimajeed/Documents/Obsidian - Main Vault/05_DELIVERABLES/assets_by_tag/unit/Geometry1TheStoryofGeometryMontessoriIntroductiontoGeometryUnit1-1_page_11_4765adaf.jpeg,"['geometry', 'unit']",358401,2025-08-12T16:43:26
Geometry1TheStoryofGeometryMontessoriIntroductiontoGeometryUnit1-1_page_6_60630db9_ba814ce7,Geometry1TheStoryofGeometryMontessoriIntroductiontoGeometryUnit1-1_page_6_60630db9.jpeg,/Users/samimajeed/Documents/Obsidian - Main Vault/05_DELIVERABLES/assets_by_tag/unit/Geometry1TheStoryofGeometryMontessoriIntroductiontoGeometryUnit1-1_page_6_60630db9.jpeg,"['geometry', 'unit']",313575,2025-08-12T16:43:22
Geometry1TheStoryofGeometryMontessoriIntroductiontoGeometryUnit1-1_page_7_3adcd2ce_750aea0e,Geometry1TheStoryofGeometryMontessoriIntroductiontoGeometryUnit1-1_page_7_3adcd2ce.jpeg,/Users/samimajeed/Documents/Obsidian - Main Vault/05_DELIVERABLES/assets_by_tag/unit/Geometry1TheStoryofGeometryMontessoriIntroductiontoGeometryUnit1-1_page_7_3adcd2ce.jpeg,"['geometry', 'unit']",294412,2025-08-12T16:43:24
Geometry1TheStoryofGeometryMontessoriIntroductiontoGeometryUnit1-1_page_3_d8419632_d60d27c1,Geometry1TheStoryofGeometryMontessoriIntroductiontoGeometryUnit1-1_page_3_d8419632.jpeg,/Users/samimajeed/Documents/Obsidian - Main Vault/05_DELIVERABLES/assets_by_tag/unit/Geometry1TheStoryofGeometryMontessoriIntroductiontoGeometryUnit1-1_page_3_d8419632.jpeg,"['geometry', 'unit']",630979,2025-08-12T16:43:21
Geometry1TheStoryofGeometryMontessoriIntroductiontoGeometryUnit1-1_page_7_503fff9a_ea68062d,Geometry1TheStoryofGeometryMontessoriIntroductiontoGeometryUnit1-1_page_7_503fff9a.jpeg,/Users/samimajeed/Documents/Obsidian - Main Vault/05_DELIVERABLES/assets_by_tag/unit/Geometry1TheStoryofGeometryMontessoriIntroductiontoGeometryUnit1-1_page_7_503fff9a.jpeg,"['geometry', 'unit']",294412,2025-08-12T16:43:24
Geometry1TheStoryofGeometryMontessoriIntroductiontoGeometryUnit1-1_page_10_3ba29558_80718167,Geometry1TheStoryofGeometryMontessoriIntroductiontoGeometryUnit1-1_page_10_3ba29558.jpeg,/Users/samimajeed/Documents/Obsidian - Main Vault/05_DELIVERABLES/assets_by_tag/unit/Geometry1TheStoryofGeometryMontessoriIntroductiontoGeometryUnit1-1_page_10_3ba29558.jpeg,"['geometry', 'unit']",556146,2025-08-12T16:43:26
Geometry1TheStoryofGeometryMontessoriIntroductiontoGeometryUnit1-1_page_2_4d7c7aff,Geometry1TheStoryofGeometryMontessoriIntroductiontoGeometryUnit1-1_page_2.jpeg,/Users/samimajeed/Documents/Obsidian - Main Vault/05_DELIVERABLES/assets_by_tag/unit/Geometry1TheStoryofGeometryMontessoriIntroductiontoGeometryUnit1-1_page_2.jpeg,"['geometry', 'unit']",616079,2025-09-30T04:11:04.060000
Geometry1TheStoryofGeometryMontessoriIntroductiontoGeometryUnit1-1_page_2_73aeeff9_1e86de5d,Geometry1TheStoryofGeometryMontessoriIntroductiontoGeometryUnit1-1_page_2_73aeeff9.jpeg,/Users/samimajeed/Documents/Obsidian - Main Vault/05_DELIVERABLES/assets_by_tag/unit/Geometry1TheStoryofGeometryMontessoriIntroductiontoGeometryUnit1-1_page_2_73aeeff9.jpeg,"['geometry', 'unit']",616079,2025-08-12T16:43:20
Geometry1TheStoryofGeometryMontessoriIntroductiontoGeometryUnit1-1_page_9_e020290e,Geometry1TheStoryofGeometryMontessoriIntroductiontoGeometryUnit1-1_page_9.jpeg,/Users/samimajeed/Documents/Obsidian - Main Vault/05_DELIVERABLES/assets_by_tag/unit/Geometry1TheStoryofGeometryMontessoriIntroductiontoGeometryUnit1-1_page_9.jpeg,"['geometry', 'unit']",287820,2025-09-30T04:11:04.090000
Geometry1TheStoryofGeometryMontessoriIntroductiontoGeometryUnit1-1_page_4_781dc983_9dd0f45f,Geometry1TheStoryofGeometryMontessoriIntroductiontoGeometryUnit1-1_page_4_781dc983.jpeg,/Users/samimajeed/Documents/Obsidian - Main Vault/05_DELIVERABLES/assets_by_tag/unit/Geometry1TheStoryofGeometryMontessoriIntroductiontoGeometryUnit1-1_page_4_781dc983.jpeg,"['geometry', 'unit']",402369,2025-08-12T16:43:21
